Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,Leaf1,Ethernet1,10.255.0.1/31,spine,Spine1,Ethernet1,10.255.0.0/31
l3leaf,Leaf1,Ethernet2,10.255.0.3/31,spine,Spine2,Ethernet1,10.255.0.2/31
l3leaf,Leaf2,Ethernet1,10.255.0.5/31,spine,Spine1,Ethernet2,10.255.0.4/31
l3leaf,Leaf2,Ethernet2,10.255.0.7/31,spine,Spine2,Ethernet2,10.255.0.6/31
l3leaf,Leaf3,Ethernet1,10.255.0.9/31,spine,Spine1,Ethernet3,10.255.0.8/31
l3leaf,Leaf3,Ethernet2,10.255.0.11/31,spine,Spine2,Ethernet3,10.255.0.10/31
l3leaf,Leaf4,Ethernet1,10.255.0.13/31,spine,Spine1,Ethernet4,10.255.0.12/31
l3leaf,Leaf4,Ethernet2,10.255.0.15/31,spine,Spine2,Ethernet4,10.255.0.14/31
